IDFactura,Rama,Ciudad,TipoCliente,Genero,ClasificacionProducto,PrecioUnitario,Cantidad,Impuesto5%,MontoVenta,Fecha,Hora,MetodoPago,Costo,PorcentajeGanancia,GananciaNeta,PuntuacionCompra
750-67-8428,Alex,Yangon,Afiliado,Femenino,Salud y belleza,74.69,7,26.1415,548.9715,1/5/2019,0.547222222,Digital,522.83,4.761904762,26.1415,9.1
226-31-3081,Giza,Naypyitaw,Normal,Femenino,Accesorios electronicos,15.28,5,3.82,80.22,3/8/2019,0.436805556,Efectivo,76.4,4.761904762,3.82,9.6
631-41-3108,Alex,Yangon,Normal,Femenino,Articulos para el hogar,46.33,7,16.2155,340.5255,3/3/2019,0.557638889,Tarjeta,324.31,4.761904762,16.2155,7.4
123-19-1176,Alex,Yangon,Afiliado,Femenino,Salud y belleza,58.22,8,23.288,489.048,1/27/2019,0.85625,Digital,465.76,4.761904762,23.288,8.4
373-73-7910,Alex,Yangon,Afiliado,Femenino,Entrenamiento y viajes,86.31,7,30.2085,634.3785,2/8/2019,0.442361111,Digital,604.17,4.761904762,30.2085,5.3
699-14-3026,Giza,Naypyitaw,Afiliado,Femenino,Accesorios electronicos,85.39,7,29.8865,627.6165,3/25/2019,0.770833333,Digital,597.73,4.761904762,29.8865,4.1
355-53-5943,Alex,Yangon,Afiliado,Femenino,Accesorios electronicos,68.84,6,20.652,433.692,2/25/2019,0.608333333,Digital,413.04,4.761904762,20.652,5.8
315-22-5665,Giza,Naypyitaw,Afiliado,Femenino,Articulos para el hogar,73.56,10,36.78,772.38,2/24/2019,0.484722222,Digital,735.6,4.761904762,36.78,8
665-32-9167,Alex,Yangon,Afiliado,Femenino,Salud y belleza,36.26,2,3.626,76.146,1/10/2019,0.71875,Tarjeta,72.52,4.761904762,3.626,7.2
692-92-5582,Cairo,Mandalay,Afiliado,Femenino,Comestibles,54.84,3,8.226,172.746,2/20/2019,0.560416667,Tarjeta,164.52,4.761904762,8.226,5.9
351-62-0822,Cairo,Mandalay,Afiliado,Femenino,Accesorios de moda,14.48,4,2.896,60.816,2/6/2019,0.754861111,Digital,57.92,4.761904762,2.896,4.5
529-56-3974,Cairo,Mandalay,Afiliado,Femenino,Accesorios electronicos,25.51,4,5.102,107.142,3/9/2019,0.710416667,Efectivo,102.04,4.761904762,5.102,6.8
365-64-0515,Alex,Yangon,Afiliado,Femenino,Accesorios electronicos,46.95,5,11.7375,246.4875,2/12/2019,0.434027778,Digital,234.75,4.761904762,11.7375,7.1
252-56-2699,Alex,Yangon,Afiliado,Femenino,Comestibles,43.19,10,21.595,453.495,2/7/2019,0.7,Digital,431.9,4.761904762,21.595,8.2
829-34-3910,Alex,Yangon,Afiliado,Femenino,Salud y belleza,71.38,10,35.69,749.49,3/29/2019,0.80625,Efectivo,713.8,4.761904762,35.69,5.7
299-46-1805,Cairo,Mandalay,Afiliado,Femenino,Entrenamiento y viajes,93.72,6,28.116,590.436,1/15/2019,0.679861111,Efectivo,562.32,4.761904762,28.116,4.5
656-95-9349,Alex,Yangon,Afiliado,Femenino,Salud y belleza,68.93,7,24.1255,506.6355,3/11/2019,0.460416667,Tarjeta,482.51,4.761904762,24.1255,4.6
765-26-6951,Alex,Yangon,Afiliado,Femenino,Entrenamiento y viajes,72.61,6,21.783,457.443,1/1/2019,0.44375,Tarjeta,435.66,4.761904762,21.783,6.9
329-62-1586,Alex,Yangon,Afiliado,Femenino,Comestibles,54.67,3,8.2005,172.2105,1/21/2019,0.75,Tarjeta,164.01,4.761904762,8.2005,8.6
319-50-3348,Cairo,Mandalay,Afiliado,Femenino,Articulos para el hogar,40.3,2,4.03,84.63,3/11/2019,0.645833333,Digital,80.6,4.761904762,4.03,4.4
300-71-4605,Giza,Naypyitaw,Afiliado,Femenino,Accesorios electronicos,86.04,5,21.51,451.71,2/25/2019,0.475,Digital,430.2,4.761904762,21.51,4.8
371-85-5789,Cairo,Mandalay,Afiliado,Femenino,Salud y belleza,87.98,3,13.197,277.137,3/5/2019,0.444444444,Digital,263.94,4.761904762,13.197,5.1
273-16-6619,Cairo,Mandalay,Afiliado,Femenino,Articulos para el hogar,33.2,2,3.32,69.72,3/15/2019,0.513888889,Tarjeta,66.4,4.761904762,3.32,4.4
636-48-8204,Alex,Yangon,Afiliado,Femenino,Accesorios electronicos,34.56,5,8.64,181.44,2/17/2019,0.46875,Digital,172.8,4.761904762,8.64,9.9
549-59-1358,Alex,Yangon,Afiliado,Femenino,Entrenamiento y viajes,88.63,3,13.2945,279.1845,3/2/2019,0.733333333,Digital,265.89,4.761904762,13.2945,6
227-03-5010,Alex,Yangon,Afiliado,Femenino,Articulos para el hogar,52.59,8,21.036,441.756,3/22/2019,0.805555556,Tarjeta,420.72,4.761904762,21.036,8.5
649-29-6775,Cairo,Mandalay,Afiliado,Femenino,Accesorios de moda,33.52,1,1.676,35.196,2/8/2019,0.646527778,Efectivo,33.52,4.761904762,1.676,6.7
189-17-4241,Alex,Yangon,Afiliado,Femenino,Accesorios de moda,87.67,2,8.767,184.107,3/10/2019,0.511805556,Tarjeta,175.34,4.761904762,8.767,7.7
145-94-9061,Cairo,Mandalay,Afiliado,Femenino,Comestibles,88.36,5,22.09,463.89,1/25/2019,0.825,Efectivo,441.8,4.761904762,22.09,9.6
848-62-7243,Alex,Yangon,Afiliado,Femenino,Salud y belleza,24.89,9,11.2005,235.2105,3/15/2019,0.65,Efectivo,224.01,4.761904762,11.2005,7.4
871-79-8483,Cairo,Mandalay,Afiliado,Femenino,Accesorios de moda,94.13,5,23.5325,494.1825,2/25/2019,0.81875,Tarjeta,470.65,4.761904762,23.5325,4.8
149-71-6266,Cairo,Mandalay,Afiliado,Femenino,Entrenamiento y viajes,78.07,9,35.1315,737.7615,1/28/2019,0.529861111,Efectivo,702.63,4.761904762,35.1315,4.5
640-49-2076,Cairo,Mandalay,Afiliado,Femenino,Entrenamiento y viajes,83.78,8,33.512,703.752,1/10/2019,0.617361111,Efectivo,670.24,4.761904762,33.512,5.1
595-11-5460,Alex,Yangon,Afiliado,Femenino,Salud y belleza,96.58,2,9.658,202.818,3/15/2019,0.425,Tarjeta,193.16,4.761904762,9.658,5.1
183-56-6882,Giza,Naypyitaw,Afiliado,Femenino,Comestibles,99.42,4,19.884,417.564,2/6/2019,0.445833333,Digital,397.68,4.761904762,19.884,7.5
232-16-2483,Giza,Naypyitaw,Afiliado,Femenino,Entrenamiento y viajes,68.12,1,3.406,71.526,1/7/2019,0.519444444,Digital,68.12,4.761904762,3.406,6.8
129-29-8530,Alex,Yangon,Afiliado,Femenino,Entrenamiento y viajes,62.62,5,15.655,328.755,3/10/2019,0.802083333,Digital,313.1,4.761904762,15.655,7
272-65-1806,Alex,Yangon,Afiliado,Femenino,Accesorios electronicos,60.88,9,27.396,575.316,1/15/2019,0.720138889,Digital,547.92,4.761904762,27.396,4.7
333-73-7901,Giza,Naypyitaw,Afiliado,Femenino,Salud y belleza,54.92,8,21.968,461.328,3/23/2019,0.558333333,Digital,439.36,4.761904762,21.968,7.6
777-82-7220,Cairo,Mandalay,Afiliado,Femenino,Articulos para el hogar,30.12,8,12.048,253.008,3/3/2019,0.542361111,Efectivo,240.96,4.761904762,12.048,7.7
280-35-5823,Cairo,Mandalay,Afiliado,Femenino,Articulos para el hogar,86.72,1,4.336,91.056,1/17/2019,0.78125,Digital,86.72,4.761904762,4.336,7.9
554-53-8700,Giza,Naypyitaw,Afiliado,Femenino,Articulos para el hogar,56.11,2,5.611,117.831,2/2/2019,0.424305556,Efectivo,112.22,4.761904762,5.611,6.3
354-25-5821,Cairo,Mandalay,Afiliado,Femenino,Entrenamiento y viajes,69.12,6,20.736,435.456,2/8/2019,0.54375,Efectivo,414.72,4.761904762,20.736,5.6
228-96-1411,Giza,Naypyitaw,Afiliado,Femenino,Comestibles,98.7,8,39.48,829.08,3/4/2019,0.860416667,Efectivo,789.6,4.761904762,39.48,7.6
617-15-4209,Giza,Naypyitaw,Afiliado,Femenino,Salud y belleza,15.37,2,1.537,32.277,3/16/2019,0.824305556,Efectivo,30.74,4.761904762,1.537,7.2
132-32-9879,Cairo,Mandalay,Afiliado,Femenino,Accesorios electronicos,93.96,4,18.792,394.632,3/9/2019,0.75,Efectivo,375.84,4.761904762,18.792,9.5
370-41-7321,Cairo,Mandalay,Afiliado,Femenino,Salud y belleza,56.69,9,25.5105,535.7205,2/27/2019,0.725,Tarjeta,510.21,4.761904762,25.5105,8.4
727-46-3608,Cairo,Mandalay,Afiliado,Femenino,Comestibles,20.01,9,9.0045,189.0945,2/6/2019,0.657638889,Digital,180.09,4.761904762,9.0045,4.1
669-54-1719,Cairo,Mandalay,Afiliado,Femenino,Accesorios electronicos,18.93,6,5.679,119.259,2/10/2019,0.53125,Tarjeta,113.58,4.761904762,5.679,8.1
574-22-5561,Giza,Naypyitaw,Afiliado,Femenino,Accesorios de moda,82.63,10,41.315,867.615,3/19/2019,0.713888889,Digital,826.3,4.761904762,41.315,7.9
326-78-5178,Giza,Naypyitaw,Afiliado,Femenino,Comestibles,91.4,7,31.99,671.79,2/3/2019,0.429861111,Efectivo,639.8,4.761904762,31.99,9.5
162-48-8011,Alex,Yangon,Afiliado,Femenino,Comestibles,44.59,5,11.1475,234.0975,2/10/2019,0.631944444,Efectivo,222.95,4.761904762,11.1475,8.5
616-24-2851,Cairo,Mandalay,Afiliado,Femenino,Accesorios de moda,17.87,4,3.574,75.054,3/22/2019,0.6125,Digital,71.48,4.761904762,3.574,6.5
778-71-5554,Giza,Naypyitaw,Afiliado,Femenino,Accesorios de moda,15.43,1,0.7715,16.2015,1/25/2019,0.656944444,Tarjeta,15.43,4.761904762,0.7715,6.1
242-55-6721,Cairo,Mandalay,Afiliado,Femenino,Articulos para el hogar,16.16,2,1.616,33.936,3/7/2019,0.492361111,Digital,32.32,4.761904762,1.616,6.5
399-46-5918,Giza,Naypyitaw,Afiliado,Femenino,Accesorios electronicos,85.98,8,34.392,722.232,2/28/2019,0.792361111,Efectivo,687.84,4.761904762,34.392,8.2
106-35-6779,Alex,Yangon,Afiliado,Femenino,Articulos para el hogar,44.34,2,4.434,93.114,3/27/2019,0.476388889,Efectivo,88.68,4.761904762,4.434,5.8
635-40-6220,Alex,Yangon,Afiliado,Femenino,Salud y belleza,89.6,8,35.84,752.64,2/7/2019,0.477777778,Digital,716.8,4.761904762,35.84,6.6
817-48-8732,Alex,Yangon,Afiliado,Femenino,Articulos para el hogar,72.35,10,36.175,759.675,1/20/2019,0.663194444,Efectivo,723.5,4.761904762,36.175,5.4
120-06-4233,Giza,Naypyitaw,Afiliado,Femenino,Accesorios electronicos,30.61,6,9.183,192.843,3/12/2019,0.858333333,Efectivo,183.66,4.761904762,9.183,9.3
285-68-5083,Giza,Naypyitaw,Afiliado,Femenino,Entrenamiento y viajes,24.74,3,3.711,77.931,2/15/2019,0.740972222,Tarjeta,74.22,4.761904762,3.711,10
803-83-5989,Giza,Naypyitaw,Afiliado,Femenino,Articulos para el hogar,55.73,6,16.719,351.099,2/24/2019,0.454861111,Digital,334.38,4.761904762,16.719,7
347-34-2234,Cairo,Mandalay,Afiliado,Femenino,Entrenamiento y viajes,55.07,9,24.7815,520.4115,2/3/2019,0.569444444,Digital,495.63,4.761904762,24.7815,10
199-75-8169,Alex,Yangon,Afiliado,Femenino,Entrenamiento y viajes,15.81,10,7.905,166.005,3/6/2019,0.51875,Tarjeta,158.1,4.761904762,7.905,8.6
853-23-2453,Cairo,Mandalay,Afiliado,Femenino,Salud y belleza,75.74,4,15.148,318.108,2/14/2019,0.607638889,Efectivo,302.96,4.761904762,15.148,7.6
877-22-3308,Alex,Yangon,Afiliado,Femenino,Salud y belleza,15.87,10,7.935,166.635,3/13/2019,0.694444444,Efectivo,158.7,4.761904762,7.935,5.8
